"Chart Data Export",
"Dimension 1","days"
"Dimension 2","categories"
"Aggregate","volume"
"Start Date","Wed Jan 01 06:00:00 UTC 2020"
"End Date","Wed Oct 28 05:00:00 UTC 2020"
"Project Id","1998293292"
"Location","[USA.TX]"
"Query Id","[2000236952]"

"days","2020-01-01 06:00:00.0","2020-01-02 06:00:00.0","2020-01-03 06:00:00.0","2020-01-04 06:00:00.0","2020-01-05 06:00:00.0","2020-01-06 06:00:00.0","2020-01-07 06:00:00.0","2020-01-08 06:00:00.0","2020-01-09 06:00:00.0","2020-01-10 06:00:00.0","2020-01-11 06:00:00.0","2020-01-12 06:00:00.0","2020-01-13 06:00:00.0","2020-01-14 06:00:00.0","2020-01-15 06:00:00.0","2020-01-16 06:00:00.0","2020-01-17 06:00:00.0","2020-01-18 06:00:00.0","2020-01-19 06:00:00.0","2020-01-20 06:00:00.0","2020-01-21 06:00:00.0","2020-01-22 06:00:00.0","2020-01-23 06:00:00.0","2020-01-24 06:00:00.0","2020-01-25 06:00:00.0","2020-01-26 06:00:00.0","2020-01-27 06:00:00.0","2020-01-28 06:00:00.0","2020-01-29 06:00:00.0","2020-01-30 06:00:00.0","2020-01-31 06:00:00.0","2020-02-01 06:00:00.0","2020-02-02 06:00:00.0","2020-02-03 06:00:00.0","2020-02-04 06:00:00.0","2020-02-05 06:00:00.0","2020-02-06 06:00:00.0","2020-02-07 06:00:00.0","2020-02-08 06:00:00.0","2020-02-09 06:00:00.0","2020-02-10 06:00:00.0","2020-02-11 06:00:00.0","2020-02-12 06:00:00.0","2020-02-13 06:00:00.0","2020-02-14 06:00:00.0","2020-02-15 06:00:00.0","2020-02-16 06:00:00.0","2020-02-17 06:00:00.0","2020-02-18 06:00:00.0","2020-02-19 06:00:00.0","2020-02-20 06:00:00.0","2020-02-21 06:00:00.0","2020-02-22 06:00:00.0","2020-02-23 06:00:00.0","2020-02-24 06:00:00.0","2020-02-25 06:00:00.0","2020-02-26 06:00:00.0","2020-02-27 06:00:00.0","2020-02-28 06:00:00.0","2020-02-29 06:00:00.0","2020-03-01 06:00:00.0","2020-03-02 06:00:00.0","2020-03-03 06:00:00.0","2020-03-04 06:00:00.0","2020-03-05 06:00:00.0","2020-03-06 06:00:00.0","2020-03-07 06:00:00.0","2020-03-08 06:00:00.0","2020-03-09 05:00:00.0","2020-03-10 05:00:00.0","2020-03-11 05:00:00.0","2020-03-12 05:00:00.0","2020-03-13 05:00:00.0","2020-03-14 05:00:00.0","2020-03-15 05:00:00.0","2020-03-16 05:00:00.0","2020-03-17 05:00:00.0","2020-03-18 05:00:00.0","2020-03-19 05:00:00.0","2020-03-20 05:00:00.0","2020-03-21 05:00:00.0","2020-03-22 05:00:00.0","2020-03-23 05:00:00.0","2020-03-24 05:00:00.0","2020-03-25 05:00:00.0","2020-03-26 05:00:00.0","2020-03-27 05:00:00.0","2020-03-28 05:00:00.0","2020-03-29 05:00:00.0","2020-03-30 05:00:00.0","2020-03-31 05:00:00.0","2020-04-01 05:00:00.0","2020-04-02 05:00:00.0","2020-04-03 05:00:00.0","2020-04-04 05:00:00.0","2020-04-05 05:00:00.0","2020-04-06 05:00:00.0","2020-04-07 05:00:00.0","2020-04-08 05:00:00.0","2020-04-09 05:00:00.0","2020-04-10 05:00:00.0","2020-04-11 05:00:00.0","2020-04-12 05:00:00.0","2020-04-13 05:00:00.0","2020-04-14 05:00:00.0","2020-04-15 05:00:00.0","2020-04-16 05:00:00.0","2020-04-17 05:00:00.0","2020-04-18 05:00:00.0","2020-04-19 05:00:00.0","2020-04-20 05:00:00.0","2020-04-21 05:00:00.0","2020-04-22 05:00:00.0","2020-04-23 05:00:00.0","2020-04-24 05:00:00.0","2020-04-25 05:00:00.0","2020-04-26 05:00:00.0","2020-04-27 05:00:00.0","2020-04-28 05:00:00.0","2020-04-29 05:00:00.0","2020-04-30 05:00:00.0","2020-05-01 05:00:00.0","2020-05-02 05:00:00.0","2020-05-03 05:00:00.0","2020-05-04 05:00:00.0","2020-05-05 05:00:00.0","2020-05-06 05:00:00.0","2020-05-07 05:00:00.0","2020-05-08 05:00:00.0","2020-05-09 05:00:00.0","2020-05-10 05:00:00.0","2020-05-11 05:00:00.0","2020-05-12 05:00:00.0","2020-05-13 05:00:00.0","2020-05-14 05:00:00.0","2020-05-15 05:00:00.0","2020-05-16 05:00:00.0","2020-05-17 05:00:00.0","2020-05-18 05:00:00.0","2020-05-19 05:00:00.0","2020-05-20 05:00:00.0","2020-05-21 05:00:00.0","2020-05-22 05:00:00.0","2020-05-23 05:00:00.0","2020-05-24 05:00:00.0","2020-05-25 05:00:00.0","2020-05-26 05:00:00.0","2020-05-27 05:00:00.0","2020-05-28 05:00:00.0","2020-05-29 05:00:00.0","2020-05-30 05:00:00.0","2020-05-31 05:00:00.0","2020-06-01 05:00:00.0","2020-06-02 05:00:00.0","2020-06-03 05:00:00.0","2020-06-04 05:00:00.0","2020-06-05 05:00:00.0","2020-06-06 05:00:00.0","2020-06-07 05:00:00.0","2020-06-08 05:00:00.0","2020-06-09 05:00:00.0","2020-06-10 05:00:00.0","2020-06-11 05:00:00.0","2020-06-12 05:00:00.0","2020-06-13 05:00:00.0","2020-06-14 05:00:00.0","2020-06-15 05:00:00.0","2020-06-16 05:00:00.0","2020-06-17 05:00:00.0","2020-06-18 05:00:00.0","2020-06-19 05:00:00.0","2020-06-20 05:00:00.0","2020-06-21 05:00:00.0","2020-06-22 05:00:00.0","2020-06-23 05:00:00.0","2020-06-24 05:00:00.0","2020-06-25 05:00:00.0","2020-06-26 05:00:00.0","2020-06-27 05:00:00.0","2020-06-28 05:00:00.0","2020-06-29 05:00:00.0","2020-06-30 05:00:00.0","2020-07-01 05:00:00.0","2020-07-02 05:00:00.0","2020-07-03 05:00:00.0","2020-07-04 05:00:00.0","2020-07-05 05:00:00.0","2020-07-06 05:00:00.0","2020-07-07 05:00:00.0","2020-07-08 05:00:00.0","2020-07-09 05:00:00.0","2020-07-10 05:00:00.0","2020-07-11 05:00:00.0","2020-07-12 05:00:00.0","2020-07-13 05:00:00.0","2020-07-14 05:00:00.0","2020-07-15 05:00:00.0","2020-07-16 05:00:00.0","2020-07-17 05:00:00.0","2020-07-18 05:00:00.0","2020-07-19 05:00:00.0","2020-07-20 05:00:00.0","2020-07-21 05:00:00.0","2020-07-22 05:00:00.0","2020-07-23 05:00:00.0","2020-07-24 05:00:00.0","2020-07-25 05:00:00.0","2020-07-26 05:00:00.0","2020-07-27 05:00:00.0","2020-07-28 05:00:00.0","2020-07-29 05:00:00.0","2020-07-30 05:00:00.0","2020-07-31 05:00:00.0","2020-08-01 05:00:00.0","2020-08-02 05:00:00.0","2020-08-03 05:00:00.0","2020-08-04 05:00:00.0","2020-08-05 05:00:00.0","2020-08-06 05:00:00.0","2020-08-07 05:00:00.0","2020-08-08 05:00:00.0","2020-08-09 05:00:00.0","2020-08-10 05:00:00.0","2020-08-11 05:00:00.0","2020-08-12 05:00:00.0","2020-08-13 05:00:00.0","2020-08-14 05:00:00.0","2020-08-15 05:00:00.0","2020-08-16 05:00:00.0","2020-08-17 05:00:00.0","2020-08-18 05:00:00.0","2020-08-19 05:00:00.0","2020-08-20 05:00:00.0","2020-08-21 05:00:00.0","2020-08-22 05:00:00.0","2020-08-23 05:00:00.0","2020-08-24 05:00:00.0","2020-08-25 05:00:00.0","2020-08-26 05:00:00.0","2020-08-27 05:00:00.0","2020-08-28 05:00:00.0","2020-08-29 05:00:00.0","2020-08-30 05:00:00.0","2020-08-31 05:00:00.0","2020-09-01 05:00:00.0","2020-09-02 05:00:00.0","2020-09-03 05:00:00.0","2020-09-04 05:00:00.0","2020-09-05 05:00:00.0","2020-09-06 05:00:00.0","2020-09-07 05:00:00.0","2020-09-08 05:00:00.0","2020-09-09 05:00:00.0","2020-09-10 05:00:00.0","2020-09-11 05:00:00.0","2020-09-12 05:00:00.0","2020-09-13 05:00:00.0","2020-09-14 05:00:00.0","2020-09-15 05:00:00.0","2020-09-16 05:00:00.0","2020-09-17 05:00:00.0","2020-09-18 05:00:00.0","2020-09-19 05:00:00.0","2020-09-20 05:00:00.0","2020-09-21 05:00:00.0","2020-09-22 05:00:00.0","2020-09-23 05:00:00.0","2020-09-24 05:00:00.0","2020-09-25 05:00:00.0","2020-09-26 05:00:00.0","2020-09-27 05:00:00.0","2020-09-28 05:00:00.0","2020-09-29 05:00:00.0","2020-09-30 05:00:00.0","2020-10-01 05:00:00.0","2020-10-02 05:00:00.0","2020-10-03 05:00:00.0","2020-10-04 05:00:00.0","2020-10-05 05:00:00.0","2020-10-06 05:00:00.0","2020-10-07 05:00:00.0","2020-10-08 05:00:00.0","2020-10-09 05:00:00.0","2020-10-10 05:00:00.0","2020-10-11 05:00:00.0","2020-10-12 05:00:00.0","2020-10-13 05:00:00.0","2020-10-14 05:00:00.0","2020-10-15 05:00:00.0","2020-10-16 05:00:00.0","2020-10-17 05:00:00.0","2020-10-18 05:00:00.0","2020-10-19 05:00:00.0","2020-10-20 05:00:00.0","2020-10-21 05:00:00.0","2020-10-22 05:00:00.0","2020-10-23 05:00:00.0","2020-10-24 05:00:00.0","2020-10-25 05:00:00.0","2020-10-26 05:00:00.0","2020-10-27 05:00:00.0"
"Masks Ineffective & cannot Block Tiny Particles.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,1,4,0,1,0,0,0,0,0,0,0,1,1,2,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,2,0,3,3,2,5,3,3,3,2,4,1,8,8,4,1,2,7,5,2,1,3,10,7,7,5,9,9,2,6,3,2,2,4,4,1,1,4,1,6,2,0,1,4,3,1,2,0,1,1,1,2,5,4,3,4,1,0,1,0,1,0,1,1,3,1,1,1,1,3,0,0,5,1,3,0,3,0,2,1,2,2,0,1,2,4,2,3,4,3,5,0,1,1,0,0,2,0,0,0,3,0,0,1,3,3,6,8,5,3,0,2,0,1,3,4,3,6,1,0,11,3,5,0,0,3,2,1,1,0
"Conspiracy Theory & Population Control & Big Pharma.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,2,1,2,1,3,1,1,2,2,1,0,2,4,0,0,2,1,0,3,1,4,5,5,4,1,5,4,4,2,4,2,4,2,4,3,1,1,0,2,0,1,0,0,2,1,3,1,0,0,0,2,0,2,2,2,3,5,4,5,4,3,8,12,12,8,9,3,7,5,18,13,9,5,13,9,12,14,23,14,15,9,16,21,11,15,4,9,16,9,11,7,9,10,14,12,4,10,6,2,2,5,10,4,2,3,2,4,6,4,3,1,6,6,4,2,3,6,5,8,1,4,8,6,2,1,2,2,0,4,9,4,7,7,6,8,3,6,5,8,2,2,4,6,2,8,7,10,5,3,3,6,5,3,5,9,5,4,6,4,1,4,4,6,3,6,9,9,1,2,3,4,7,5,2,3,4,2,2,4,3,4,1,6,1,3,2,1
"Fake News, Fake numbers, Fake Pandemic, and Lies",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,2,2,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,2,0,3,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,1,2,0,1,0,3,1,1,1,0,2,2,3,0,2,5,6,6,8,12,4,0,0,8,4,1,3,5,2,8,4,3,7,15,1,8,9,1,3,3,3,3,4,10,45,7,1,3,2,3,6,4,9,7,1,2,5,3,1,1,7,0,6,5,5,3,5,3,2,3,4,1,1,3,6,5,4,13,5,13,19,11,2,5,7,12,12,5,10,3,12,7,4,6,6,11,7,0,2,5,3,2,6,12,10,1,3,2,3,7,4,1,4,5,8,12,1,3,1,4,7,11,7,6,0,2,3,3,6,4,2,2,4,2,0,2
"Political, Fear and Control people.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,2,0,2,0,1,2,0,1,2,4,1,2,1,1,0,0,0,0,1,2,1,0,0,1,0,0,0,3,0,1,0,1,2,2,1,0,2,2,2,4,3,7,8,4,3,5,2,3,3,2,1,1,4,2,8,11,2,6,10,4,3,4,5,2,3,4,2,0,6,3,1,2,2,0,10,1,6,2,9,4,8,2,1,5,1,1,1,2,2,1,1,1,2,3,3,2,0,4,1,3,0,2,3,0,2,1,3,1,4,2,5,1,0,1,1,3,4,0,1,2,1,1,0,3,2,1,2,1,1,0,0,2,0,2,2,1,2,4,3,0,1,3,3,0,0,3,2,0,1,3,2,3,0,0,1,1,1,0,2,2,3,4,1,4
"Unhealthy, low oxygen, Carbon Dioxide, and Lung Infections, Weaken Immune System",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,4,0,1,2,0,1,2,1,1,1,4,2,0,0,0,3,6,0,2,2,7,0,1,1,3,0,1,0,0,0,1,1,1,2,2,1,0,0,0,1,1,4,1,1,3,1,3,0,6,3,3,4,6,6,6,6,1,3,9,18,1,1,3,4,3,7,4,4,1,2,4,4,8,22,4,7,1,2,2,2,1,2,1,2,1,52,9,2,0,0,5,2,2,0,1,3,1,2,1,1,4,7,7,3,2,0,0,1,3,1,4,4,1,3,3,3,1,0,1,1,0,4,2,1,1,0,0,0,2,2,1,0,5,3,2,3,1,0,1,0,1,1,1,6,1,1,4,2,1,1,3,2,2,2,9,4,0,1,3,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"Constitutional Rights and Freedom of Choice",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,1,1,0,1,0,0,1,1,0,1,1,2,2,3,3,1,4,3,0,1,2,2,1,3,2,2,3,0,1,2,5,4,2,2,0,6,5,5,2,0,4,5,2,3,2,0,2,0,0,2,0,1,0,0,0,1,3,0,0,0,0,4,5,4,11,10,5,2,6,6,9,14,9,7,9,8,7,33,33,21,17,5,14,16,9,24,17,12,12,18,19,27,18,13,13,21,18,7,10,9,7,10,3,1,11,8,8,5,7,49,6,13,9,3,5,3,1,3,9,10,5,7,5,7,7,8,10,4,4,3,2,3,2,7,3,4,8,9,9,10,9,5,5,6,3,5,2,2,4,4,4,8,10,11,25,7,4,1,4,7,8,7,6,4,8,7,4,7,1,5,7,3,13,7,5,5,1,3,2,6,5,2,4,4,2,3,1,11,5,4,6,5,5,4,4
"Herd Immunity and Dependency on the Immune System",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,2,1,0,3,1,0,0,1,1,2,1,1,0,2,3,2,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Mental Health and Suicide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,1,0,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,3,0,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,4,1,0,1,2,4,1,2,2,1,0,1,4,5,1,1,3,1,3,3,2,3,2,2,1,3,4,2,0,0,5,2,3,0,0,4,0,0,1,0,3,3,1,0,1,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,1,2,0,1,0,0,1,0,2,0,0,0,2,1,0,3,0,2,1,2,3,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Child Abuse and Dehumanization",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,1,0,1,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,1,0,1,1,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Virus Related Statistics - High Recovery Rates, Low Mortality Rates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
